id	path	unsafe_surface
UNSAFE-BORON-GUN-XDP-BACKEND-001	crates/boron-gun/src/xdp_backend.rs	unsafe impl Send for BoundXdpWorker {}
UNSAFE-BORON-GUN-XDP-BACKEND-002	crates/boron-gun/src/xdp_backend.rs	unsafe impl Pod for DropConfig {}
UNSAFE-BORON-GUN-XDP-BACKEND-003	crates/boron-gun/src/xdp_backend.rs	unsafe impl Pod for ReplyRedirectConfig {}
UNSAFE-BORON-GUN-XDP-BACKEND-004	crates/boron-gun/src/xdp_backend.rs	unsafe {
UNSAFE-BORON-GUN-XDP-BACKEND-005	crates/boron-gun/src/xdp_backend.rs	let Some(mut packet) = (unsafe { worker.umem.alloc() }) else {
UNSAFE-BORON-GUN-XDP-BACKEND-006	crates/boron-gun/src/xdp_backend.rs	let sent = match unsafe { worker.tx_ring.send(&mut send_slab, wakeup) } {
UNSAFE-BORON-GUN-XDP-BACKEND-007	crates/boron-gun/src/xdp_backend.rs	let ret = unsafe {
UNSAFE-BORON-GUN-XDP-BACKEND-008	crates/boron-gun/src/xdp_backend.rs	let mut set: libc::cpu_set_t = unsafe { std::mem::zeroed() };
UNSAFE-BORON-GUN-XDP-BACKEND-009	crates/boron-gun/src/xdp_backend.rs	unsafe {
UNSAFE-BORON-GUN-XDP-BACKEND-010	crates/boron-gun/src/xdp_backend.rs	let result = unsafe { libc::sched_setaffinity(0, std::mem::size_of_val(&set), &set) };
UNSAFE-BORON-GUN-XDP-BACKEND-011	crates/boron-gun/src/xdp_backend.rs	let received = unsafe { rx_ring.recv(umem, recv_slab) };
UNSAFE-BORON-GUN-XDP-BACKEND-012	crates/boron-gun/src/xdp_backend.rs	unsafe {
UNSAFE-BORON-GUN-EBPF-LIB-001	crates/boron-gun-ebpf/src/lib.rs	unsafe trait PacketPod: Copy {}
UNSAFE-BORON-GUN-EBPF-LIB-002	crates/boron-gun-ebpf/src/lib.rs	unsafe impl PacketPod for EthHdr {}
UNSAFE-BORON-GUN-EBPF-LIB-003	crates/boron-gun-ebpf/src/lib.rs	unsafe impl PacketPod for Ipv4Hdr {}
UNSAFE-BORON-GUN-EBPF-LIB-004	crates/boron-gun-ebpf/src/lib.rs	unsafe impl PacketPod for Ipv6Hdr {}
UNSAFE-BORON-GUN-EBPF-LIB-005	crates/boron-gun-ebpf/src/lib.rs	unsafe impl PacketPod for UdpHdr {}
UNSAFE-BORON-GUN-EBPF-LIB-006	crates/boron-gun-ebpf/src/lib.rs	Ok(unsafe { ptr::read_unaligned(ptr) })
UNSAFE-BORON-GUN-EBPF-LIB-007	crates/boron-gun-ebpf/src/lib.rs	unsafe { (*ctx.ctx).rx_queue_index }
UNSAFE-BORON-GUN-EBPF-LIB-008	crates/boron-gun-ebpf/src/lib.rs	unsafe {
